student_id,19/20_1,19/20_2,20/21_1,20/21_2,21/22_1,21/22_2,22/23_1,22/23_2,23/24_1,23/24_2,24/25_1,24/25_2
63190077,"['63203', '63205', '63202', '63277', '63204']","['63212', '63209', '63207', '63215', '63278']","['63279', '63218', '63213', '63248', '63283', '63208']","['63217', '63280', '63216', '63220']","['63254', '63269', '63266', '63267', '63214']","['63281', '63250', '63268', '63256', '63251']","['63541', '63519', '63506', '63550', '63512', '63520']","['63545B', '63509', '63510', '63543']","['63545C', '63527', '63523']","['63553', '63551', '63555']",,
63190078,"['63203', '63205', '63202', '63277', '63204']","['63212', '63209', '63207', '63215', '63278']","['63279', '63218', '63213', '63248', '63283', '63208']","['63217', '63280', '63216', '63220']","['63261', '63214', '63267', '63266']","['63250', '63271', '63268', '63216', '63281', '63251']",,['63281'],"['63506', '63520', '63506A', '63512', '63519', '63541']","['63509', '63561', '63545B', '63543', '63510']","['63514', '63554']","['63552', '63555', '63546H']"
63190079,"['63704', '63702', '63703', '63701', '63705']","['63710', '63706', '63708', '63707', '63709']","['63744', '63715', '63713', '63704']","['63721', '63726', '63709']","['63716', '63719', '63711']","['63723', '63727']","['63749B', '63718', '63712', '63734', '63719', '63732']",['63770'],,['63770'],,
63190080,"['63704', '63701', '63705', '63702', '63703']","['63710', '63706', '63708', '63707', '63709']",,,,,,,,,,
63190081,"['63203', '63205', '63202', '63277', '63204']","['63212', '63209', '63207', '63215', '63278']",,"['63707', '63706', '63710']","['63715', '63705']","['63706', '63209', '63727', '63721']","['63249', '63214', '63226']","['63727', '63765', '63252', '63256', '63253']",,,"['63521', '63527']","['63551', '63515']"
63190082,"['63203', '63277', '63205', '63202', '63204']","['63212', '63209', '63207', '63215', '63278']","['63279', '63218', '63213', '63283', '63208']","['63217', '63280', '63216', '63220']",,"['63220', '63215']","['63264', '63214', '63261', '63257']","['63281', '63259', '63258', '63256', '63262']",['63264'],"['63259', '63281']",,"['63259', '63281']"
63190083,"['63703', '63701', '63705', '63702', '63704']","['63710', '63706', '63708', '63707', '63709']","['63711', '63719', '63714', '63716', '63720']","['63725', '63727', '63723', '63765', '63278']","['63248', '63712', '63742', '63732', '63719', '63768', '63713']",['63770'],,['63770'],,['63770'],,
63190084,"['63704', '63702', '63703', '63701', '63705']","['63710', '63706', '63708', '63707', '63709']","['63711', '63712', '63713', '63714', '63715']","['63725', '63721', '63723', '63722', '63724']","['63720', '63714', '63713', '63732']","['63722', '63765']","['63768', '63735', '63736']",['63770'],,,,
63190085,"['63203', '63205', '63204', '63277', '63202']","['63212', '63209', '63207', '63215', '63278']","['63279', '63218', '63213', '63248', '63283', '63208']","['63217', '63280', '63219', '63216']","['63269', '63255', '63270', '63214']","['63281', '63250', '63271', '63287', '63256', '63253']",,['63281'],,,,
63190086,"['63203', '63204', '63277', '63205', '63202']","['63212', '63209', '63207', '63215', '63278']",,,,,,,,,,
63190087,"['63702', '63705', '63701', '63704', '63703']","['63710', '63706', '63708', '63707', '63709']","['63711', '63712', '63716', '63715', '63744']","['63727', '63721', '63723', '63728', '63726']","['63714', '63735', '63718', '63713', '63732', '63736']",['63770'],,['63770'],,,,
63190088,"['63702', '63705', '63701', '63704', '63703']","['63710', '63706', '63708', '63707', '63709']","['63711', '63716', '63720', '63715', '63714']","['63725', '63727', '63721', '63723', '63765']","['63248', '63712', '63749B', '63732', '63741', '63713']",['63770'],,,,,,
63190089,"['63203', '63277', '63205', '63204', '63202']","['63212', '63209', '63207', '63215', '63278']",,,,,,,,,,
63190090,"['63704', '63702', '63703', '63701', '63705']","['63710', '63706', '63709', '63707', '63708']",,,,,,,,,,
63190091,"['63203', '63205', '63202', '63277', '63204']","['63212', '63209', '63207', '63215', '63278']","['63203', '63205', '63202']","['63212', '63278', '63209', '63215', '63207']","['63205', '63202', '63213']","['63207', '63216', '63217']","['63283', '63213', '63218', '63202', '63738', '63208', '63279']","['63216', '63220', '63280', '63217']","['63283', '63213', '63279', '63738']","['63216', '63220', '63280']","['63283', '63213', '63738']","['63220', '63216', '63280']"
63190092,"['63203', '63205', '63277', '63204', '63202']","['63212', '63209', '63207', '63215', '63278']","['63208', '63213', '63279', '63218', '63283']","['63280', '63216', '63217', '63220']","['63254', '63269', '63255', '63270', '63214']","['63281', '63250', '63271', '63287', '63256']","['63541', '63519', '63506', '63512', '63520']","['63545B', '63509', '63510', '63536', '63543']","['63554', '63514']","['63561', '63552', '63555']",,
63190093,"['63704', '63702', '63703', '63701', '63705']","['63710', '63706', '63709', '63707', '63708']","['63711', '63716', '63704']","['63710', '63727', '63721', '63723']","['63716', '63711', '63704']","['63727', '63723', '63710']",,,,,,
63190094,"['63704', '63702', '63703', '63701', '63705']","['63710', '63706', '63709', '63707', '63708']","['63711', '63713', '63719', '63720', '63714', '63767A']","['63725', '63721', '63723', '63765']","['63712', '63715', '63719', '63704']",,"['63741', '63735', '63732', '63736']",['63770'],,['63770'],,
63190095,"['63203', '63205', '63204', '63202', '63277']","['63212', '63209', '63207', '63215', '63278']","['63208', '63213', '63279', '63218', '63283']","['63280', '63216', '63217', '63220']","['63213', '63283']","['63220', '63216', '63280']",['63283'],"['63220', '63216']","['63270', '63261', '63266', '63214', '63269']","['63287', '63250', '63271', '63220', '63256', '63281']","['63261', '63270', '63214']","['63220', '63287', '63281']"
63190096,"['63704', '63702', '63703', '63701', '63705']","['63710', '63706', '63709', '63707', '63708']",,,,,,,,,,
63190097,"['63203', '63277', '63205', '63204', '63202']","['63212', '63278', '63209', '63215', '63207']","['63208', '63213', '63279', '63218', '63283']","['63280', '63219', '63216', '63217', '63220']","['63255', '63267', '63266', '63214']","['63281', '63268', '63265', '63256', '63251']",,['63281'],"['63564', '63506A', '63554', '63565', '63514']","['63552', '63566', '63555', '63567']","['63563', '63520']","['63545B', '63543', '63561']"
63190098,"['63702', '63705', '63701', '63704', '63703']","['63710', '63706', '63709', '63707', '63708']","['63712', '63715', '63714', '63704']","['63710', '63725', '63726']","['63248', '63712', '63711']","['63744', '63721', '63723']","['63749B', '63768', '63734', '63732', '63713', '63767A']",['63770'],,['63770'],,
